,Unnamed: 0,정류소명,정류소번호,권역,행정동명,엑스좌표,경도,와이좌표,위도,노선번호,totalPsocAvg,정상노선번호,평일배차간격(분),토요일배차간격(분),공휴일배차간격(분),일평균승차건수,평균배차간격,대기시간,버스정류소 이용량,scaled 버스정류소 이용량,버스정류소 번호 별 총 이용량,scaled 버스정류소 번호 별 총 이용량,ped_count_within_500m
1687,1687,동양주공1.2단지,41373,계양구,계양1동,178324.1463,126.755467,450736.5932,37.55864912,76,85.76923076923077,76,20-30,25-35,33-40,85.76923076923077,25.0,12.5,1072.1153846153848,0.0403880147207974,2953.137820512821,0.150179619831855,62286
1688,1688,동양주공1.2단지,41372,계양구,계양1동,178325.8474,126.7554855,450760.5495,37.558865,76,158.76923076923077,76,20-30,25-35,33-40,158.76923076923077,25.0,12.5,1984.6153846153848,0.0747631052768843,2943.7403846153848,0.1497017202429268,62842
1689,1689,동양지구1단지정문,41521,계양구,계양3동,178359.798,126.755867,450855.3192,37.55971966,66,178.07692307692307,66,14-19,19-25,20-28,178.07692307692307,16.5,8.25,1469.1346153846152,0.055344258019647,1469.1346153846152,0.0747117443986973,63507
1690,1690,동양지구입구,41446,계양구,계양1동,178154.2838,126.7535447,450732.3062,37.55860647,76,95.03846153846152,76,20-30,25-35,33-40,95.03846153846152,25.0,12.5,1187.980769230769,0.0447528181054217,2855.8221153846152,0.1452307022776837,60863
1691,1691,동양지구입구,41445,계양구,계양3동,178162.7753,126.7536403,450750.1321,37.55876728,76,171.03846153846155,76,20-30,25-35,33-40,171.03846153846155,25.0,12.5,2137.980769230769,0.0805405836158683,3176.389423076923,0.1615329134597518,61491
1692,1692,동양하이테크,42966,서구,검암경서동,168613.3883,126.6456021,449872.0134,37.55057932,306,680.7692307692307,306,18-21,24-26,25-30,680.7692307692307,19.5,9.75,6637.499999999999,0.2500434669216725,6637.499999999999,0.3375451087009671,8592
1693,1693,동원로얄듀크마리나포레,35890,중구,영종1동,160557.5781,126.5548335,442563.234,37.48441956,223,243.1851851851852,223,20-27,27-36,27-36,243.1851851851852,23.5,11.75,2857.425925925926,0.1076430410531659,995.9659544159545,0.0506491052875022,4035
1694,1694,동원로얄듀크마리나포레,35891,중구,영종1동,160583.0046,126.5551211,442560.4835,37.48439586,223,227.11111111111111,223,20-27,27-36,27-36,227.11111111111111,23.5,11.75,2668.555555555556,0.1005280426040227,2139.4754273504277,0.1088014260923613,3903
1695,1695,동원아파트,25167,기타,정왕동,176596.7688,126.7365927,429512.8113,37.36738159,790,152.0,790,40-65,60-85,60-85,152.0,52.5,26.25,3990.0,0.1503086151438755,1330.0,0.0676361573743557,0
1696,1696,동원아파트,37379,미추홀구,도화1동,170953.2966,126.6724606,440282.5286,37.46425656,81,646.1153846153846,81,16-23,22-30,22-30,646.1153846153846,19.5,9.75,6299.625,0.2373152655828914,4030.389423076923,0.2049624460896013,432379
1697,1697,동원아파트,37376,미추홀구,도화1동,170954.2742,126.6724727,440256.265,37.46401996,81,693.8461538461538,81,16-23,22-30,22-30,693.8461538461538,19.5,9.75,6765.0,0.2548465617664957,5366.026442307692,0.2728852698698327,438489
